date;Startsurfingsession;Surfedday;SurfedLocation;TrackRegister;Comment
8/1/23;13:42;SI;Cambrils;SI;
16/1/23;16:07;SI;LaPineda;SI;
17/1/23;16:16;SI;Barcelona;No;LaPineda
20/1/23;15:35;SI;LaPineda;;
21/1/23;13:00;SI;LaPineda;No;
25/1/23;16:00;SI;LaPineda;;
29/1/23;13:00;SI;LaPineda;No;
6/2/23;16:45;SI;CapSalou;;
7/2/23;15:55;SI;CapSalou;;
8/2/23;15:17;SI;CapSalou;;
9/2/23;14:00;SI;Cambrils;;
10/2/23;13:25;SI;LaPineda;;
11/2/23;9:31;SI;LaPineda;;
12/2/23;11:56;SI;LaPineda;;
27/2/23;14:26;SI;LaPineda;;
28/2/23;16:39;SI;LaPineda;;